"year.f","pred","predtrans","year","year2","year.c","predlinear","residuals","sqq"
"2009",0.976009966575777,2.65384615384615,2009,7,-1.5,2.16524903036958,-0.488597123476568,825
"2010",0.957675948037009,2.6056338028169,2010,8,-0.5,2.15429809356849,-0.451335709248406,825
"2011",0.854077547372582,2.34920634920635,2011,9,0.5,2.1433471567674,-0.205859192438945,825
"2012",0.192371892647456,1.21212121212121,2012,10,1.5,2.13239621996631,0.920275007845103,825
"2013",0.710538923271814,2.03508771929825,2013,11,2.5,2.12144528316522,0.0863575638669789,825
"2014",0.78845736036427,2.2,2014,12,3.5,2.11049434636413,-0.089505653635864,825
"2015",0.0800427076735361,1.08333333333333,2015,13,4.5,2.09954340956304,1.01621007622971,825
"2016",0.389464766761723,1.47619047619048,2016,14,5.5,2.08859247276195,0.612401996571479,825
"2017",0.980829253011726,2.66666666666667,2017,15,6.5,2.07764153596086,-0.589025130705801,825
"2018",1.09861228866811,3,2018,16,7.5,2.06669059915977,-0.933309400840224,825
"2003",-1.38629436111989,0.25,2003,1,-3,0.621173469387755,0.371173469387755,898
"2004",-0.916290731874155,0.4,2004,2,-2,0.667857142857143,0.267857142857143,898
"2005",0.405465108108165,1.5,2005,3,-1,0.714540816326531,-0.78545918367347,898
"2006",0.22314355131421,1.25,2006,4,0,0.761224489795918,-0.488775510204082,898
"2007",-0.693147180559945,0.5,2007,5,1,0.807908163265306,0.307908163265306,898
"2008",-0.847297860387203,0.428571428571429,2008,6,2,0.854591836734694,0.426020408163265,898
"2009",0,1,2009,7,3,0.901275510204082,-0.0987244897959183,898
"2004",-0.182321556793956,0.833333333333332,2004,1,-6.5,1.10864563729225,0.275312303958921,935
"2005",0.42744401482694,1.53333333333333,2005,2,-5.5,1.3191406135796,-0.214192719753738,935
"2006",1.19625075823203,3.30769230769231,2006,3,-4.5,1.52963558986694,-1.77805671782537,935
"2007",-0.22314355131421,0.8,2007,4,-3.5,1.74013056615428,0.940130566154279,935
"2008",0.367724780125317,1.44444444444444,2008,5,-2.5,1.95062554244162,0.506181097997177,935
"2009",0.926762031741451,2.52631578947368,2009,6,-1.5,2.16112051872896,-0.365195270744722,935
"2010",0.902867711542014,2.46666666666667,2010,7,-0.5,2.3716154950163,-0.0950511716503617,935
"2011",0.655406852577098,1.92592592592593,2011,8,0.5,2.58211047130365,0.656184545377721,935
"2012",-0.624154309072993,0.535714285714286,2012,9,1.5,2.79260544759099,2.2568911618767,935
"2013",1.45667515788169,4.29166666666667,2013,10,2.5,3.00310042387833,-1.28856624278834,935
"2014",1.42138568093116,4.14285714285715,2014,11,3.5,3.21359540016567,-0.929261742691474,935
"2015",0.998528830111126,2.71428571428571,2015,12,4.5,3.42409037645301,0.709804662167302,935
"2016",1.42403468910274,4.15384615384615,2016,13,5.5,3.63458535274036,-0.519260801105797,935
"2017",1.38629436111989,4,2017,14,6.5,3.8450803290277,-0.154919670972302,935
"2005",0.54654370636807,1.72727272727273,2005,1,-4.5,2.42712460574121,0.699851878468478,752
"2006",0.72054615474806,2.05555555555556,2006,2,-3.5,2.40433851026736,0.348782954711806,752
"2007",1.50407739677627,4.5,2007,3,-2.5,2.38155241479352,-2.11844758520648,752
"2008",0.0645385211375714,1.06666666666667,2008,4,-1.5,2.35876631931968,1.29209965265301,752
"2009",0.78845736036427,2.2,2009,5,-0.5,2.33598022384584,0.135980223845836,752
"2010",1.28093384546206,3.6,2010,6,0.5,2.31319412837199,-1.28680587162801,752
"2011",0.650587566141149,1.91666666666667,2011,7,1.5,2.29040803289815,0.373741366231484,752
"2012",0.818310323513951,2.26666666666667,2012,8,2.5,2.26762193742431,0.00095527075764279,752
"2013",-0.0909717782057267,0.91304347826087,2013,9,3.5,2.24483584195047,1.3317923636896,752
"2014",1.09861228866811,3,2014,10,4.5,2.22204974647662,-0.777950253523376,752
"2006",0.154150679827258,1.16666666666667,2006,1,-6.33333333333333,0.979166666666667,-0.187499999999999,822
"2007",-1.6094379124341,0.2,2007,2,-5.33333333333333,0.984722222222222,0.784722222222222,822
"2009",-1.38629436111989,0.25,2009,4,-3.33333333333333,0.995833333333333,0.745833333333333,822
